Lab_action,Sample_ID,Library,Barcode,EO,EO_normalised,BL_inferred,n_raw_haps,Proteins_in_final_data,Exclusion_stage,Recommended_action
Re-DNA-extraction,Library009_barcode09,9,9,76,EO76,BL3,48,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library009_barcode59,9,59,76,EO76,BL3,20,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library009_barcode74,9,74,76,EO76,BL3,32,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library010_barcode51,10,51,76,EO76,BL3,32,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library002_barcode40,2,40,8,EO8,Unassigned,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-PCR,Library009_barcode89,9,89,,,Unassigned,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension)
Re-PCR,Library010_barcode89,10,89,,,Unassigned,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension)
Re-PCR,Library001_barcode13,1,13,18,EO18,BL5,24,0.0,Step 9 — dropped_abundance_filter,Re-PCR (low yield — singleton functional proteins below abundance threshold; re-amplify for more product)
Re-PCR,Library010_barcode04,10,4,18,EO18,BL5,40,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode12,10,12,18,EO18,BL5,48,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode31,10,31,18,EO18,BL5,20,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library009_barcode40,9,40,25,EO25,BL5,12,0.0,Step 9 — no_functional_proteins,"Re-PCR (short / dirty product translates to X residues — re-amplify, possibly with proofreading polymerase)"
Re-PCR,Library006_barcode45,6,45,27,EO27,BL4,4,0.0,Step 9 — dropped_abundance_filter,Re-PCR (low yield — singleton functional proteins below abundance threshold; re-amplify for more product)
Re-PCR,Library007_barcode75,7,75,27,EO27,BL4,4,0.0,Step 9 — dropped_abundance_filter,Re-PCR (low yield — singleton functional proteins below abundance threshold; re-amplify for more product)
Re-PCR,Library007_barcode79,7,79,27,EO27,BL4,48,0.0,Step 9 — dropped_abundance_filter,Re-PCR (low yield — singleton functional proteins below abundance threshold; re-amplify for more product)
Re-PCR,Library009_barcode72,9,72,27,EO27,BL4,16,,Step 4 — length filter,Re-PCR (current product fragmented — increase extension time)
Re-PCR,Library010_barcode85,10,85,27,EO27,BL4,40,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode90,10,90,27,EO27,BL4,12,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode91,10,91,27,EO27,BL4,16,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode92,10,92,27,EO27,BL4,12,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode93,10,93,27,EO27,BL4,16,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode95,10,95,27,EO27,BL4,16,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode96,10,96,27,EO27,BL4,52,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library001_barcode22,1,22,29,EO29,BL1,32,0.0,Step 9 — dropped_abundance_filter,Re-PCR (low yield — singleton functional proteins below abundance threshold; re-amplify for more product)
Re-PCR,Library002_barcode49,2,49,29,EO29,BL1,20,0.0,Step 9 — no_functional_proteins,"Re-PCR (short / dirty product translates to X residues — re-amplify, possibly with proofreading polymerase)"
Re-PCR,Library002_barcode59,2,59,38,EO38,BL3,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension)
Re-PCR,Library003_barcode75,3,75,67,EO67,BL4,48,0.0,Step 9 — no_functional_proteins,"Re-PCR (short / dirty product translates to X residues — re-amplify, possibly with proofreading polymerase)"
Re-PCR,Library004_barcode90,4,90,67,EO67,BL4,0,,Stage 3 — no assembly,Re-PCR (no Canu assembly produced — try fresh primers / longer extension)
Re-PCR,Library009_barcode26,9,26,67,EO67,BL4,28,0.0,Step 9 — dropped_abundance_filter,Re-PCR (low yield — singleton functional proteins below abundance threshold; re-amplify for more product)
Re-PCR,Library008_barcode18,8,18,70,EO70,BL2,36,0.0,Step 9 — no_functional_proteins,"Re-PCR (short / dirty product translates to X residues — re-amplify, possibly with proofreading polymerase)"
Re-PCR,Library010_barcode58,10,58,70,EO70,BL2,28,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode65,10,65,70,EO70,BL2,16,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode67,10,67,70,EO70,BL2,44,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode68,10,68,70,EO70,BL2,28,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode69,10,69,70,EO70,BL2,32,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode70,10,70,70,EO70,BL2,32,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode78,10,78,70,EO70,BL2,36,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library009_barcode08,9,8,76,EO76,BL3,16,0.0,Step 9 — no_functional_proteins,"Re-PCR (short / dirty product translates to X residues — re-amplify, possibly with proofreading polymerase)"
Re-PCR,Library009_barcode32,9,32,76,EO76,BL3,16,,Step 4 — length filter,Re-PCR (current product fragmented — increase extension time)
Re-PCR,Library009_barcode58,9,58,76,EO76,BL3,36,0.0,Step 9 — dropped_abundance_filter,Re-PCR (low yield — singleton functional proteins below abundance threshold; re-amplify for more product)
Re-PCR,Library010_barcode35,10,35,76,EO76,BL3,16,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode42,10,42,76,EO76,BL3,12,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode46,10,46,76,EO76,BL3,44,0.0,Step 9 — no_functional_proteins,"Re-PCR (short / dirty product translates to X residues — re-amplify, possibly with proofreading polymerase)"
Re-PCR,Library010_barcode47,10,47,76,EO76,BL3,64,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode48,10,48,76,EO76,BL3,36,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode50,10,50,76,EO76,BL3,40,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode54,10,54,76,EO76,BL3,8,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library010_barcode61,10,61,76,EO76,BL3,32,,Step 4b — BLAST coverage filter,"Re-PCR (current amplicon is SRK paralog rather than canonical SRK; PCR competition may resolve stochastically — if same paralog signature persists across replicates, consider primer re-design)"
Re-PCR,Library002_barcode30,2,30,98-2,EO98,Unassigned,8,,Step 4 — length filter,Re-PCR (current product fragmented — increase extension time)
